id,title,author,ISBN,series,avg_rating,pages,rating_count,review_count,book_format,published_date,publisher
150,Crown of Shadows,Joe Hill,1600106951,(Locke & Key #3),4.41,152,25486,1379,Hardcover,February 2013,IDW Publishing
149,Into the Drowning Deep,Mira Grant,0316379409,(Rolling in the Deep #1),4.03,440,7688,1888,Hardcover,November 14th 2017,Orbit
148,The Vampire Armand,Anne Rice,0345434803,(The Vampire Chronicles #6),3.76,457,61177,881,Mass Market Paperback,October 3rd 2000,Ballantine Books
147,The Cabin at the End of the World,Paul Tremblay,0062679104,NULL,3.32,272,16453,3117,Hardcover,June 26th 2018,William Morrow
146,The Ritual,Adam Nevill,0230754929,NULL,3.62,418,10879,1539,Paperback,May 28th 2011,Pan Publishing
145,11/22/63,Stephen King,1451627289,NULL,4.31,849,365374,34467,Hardcover,November 8th 2011,Scribner
144,The Legend of Sleepy Hollow,Washington Irving,0809594080,NULL,3.73,108,41076,2629,Paperback,March 1st 2004,Wildside Press
143,Abraham Lincoln: Vampire Hunter,Seth Grahame-Smith,0446563080,(Abraham Lincoln: Vampire Hunter #1),3.70,336,124138,12212,Hardcover,March 2nd 2010,Grand Central Publishing
142,Hearts in Atlantis,Stephen King,0340818670,NULL,3.82,640,78348,1891,Paperback,2001,New English Library
141,The Twelve,Justin Cronin,0345504984,(The Passage #2),4.00,568,79929,7339,Hardcover,October 16th 2012,The Random House Publishing Group
140,Wizard and Glass,Stephen King,0340829788,(The Dark Tower #4),4.25,845,144858,5220,Paperback,October 2003,New English Library
139,The Fall,Guillermo del Toro,0061558222,(The Strain Trilogy #2),3.81,308,34173,2306,Hardcover,September 21st 2010,William Morrow
138,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,NULL,(Miss Peregrine's Peculiar Children #1),3.91,352,847852,58450,Hardcover,June 7th 2011,Quirk
137,A Monster Calls,Patrick Ness,1406361801,NULL,4.37,237,173150,30363,Paperback,May 7th 2015,Walker Books
136,Slade House,David Mitchell,NULL,NULL,3.81,241,44302,5981,Kindle Edition,October 27th 2015,Random House
135,Phantoms,Dean Koontz,0425181103,NULL,3.94,448,62626,1172,Paperback,February 5th 2002,Berkley
134,The Bazaar of Bad Dreams,Stephen King,1501111671,NULL,3.92,495,38778,4275,Hardcover,November 3rd 2015,Scribner
133,Mr. Mercedes,Stephen King,1476754454,(Bill Hodges Trilogy #1),3.95,436,194574,14921,Hardcover,June 3rd 2014,Scribner
132,Sleeping Beauties,Stephen King,150116340X,NULL,3.74,702,45728,5839,Hardcover,September 26th 2017,Scribner
131,The Tale of the Body Thief,Anne Rice,0345419634,(The Vampire Chronicles #4),3.72,468,76440,1326,Paperback,2005,Ballantine Books
130,Psycho,Robert Bloch,0747545251,(Psycho #1),4.11,208,46557,1992,Paperback,January 31st 1999,Bloomsbury Publishing PLC
129,Hannibal,Thomas  Harris,0099297701,(Hannibal Lecter #3),3.75,564,74254,2521,Paperback,May 18th 2000,Arrow
128,The Ocean at the End of the Lane,Neil Gaiman,0062255657,NULL,4.00,181,415616,43219,Hardcover,June 18th 2013,William Morrow Books
127,Carmilla,J. Sheridan Le Fanu,0809510839,NULL,3.84,108,32652,2350,Paperback,September 5th 2000,Wildside Press
126,"The Walking Dead, Vol. 1: Days Gone Bye",Robert Kirkman,1582406723,(The Walking Dead (Collected Editions) #1),4.27,144,191055,3803,Comics,February 19th 2013,Image Comics
125,At the Mountains of Madness,H.P. Lovecraft,0812974417,NULL,3.89,224,27491,2070,Paperback,June 14th 2005,Modern Library
124,Just After Sunset,Stephen King,1416584080,NULL,3.87,539,43388,2401,Hardcover,November 11th 2008,Scribner
123,The Witching Hour,Anne Rice,0099471426,(Lives of the Mayfair Witches #1),4.11,1207,95648,3355,Paperback,November 4th 2004,Arrow
122,The Long Walk,Richard Bachman,0451196716,NULL,4.11,370,97097,5489,Paperback,April 1st 1999,Signet
121,The Amityville Horror,Jay Anson,0553116606,NULL,3.84,315,95339,2022,Mass Market Paperback,1978,Bantam Books
120,Dolores Claiborne,Stephen King,1101138173,NULL,3.85,384,112913,2388,ebook,December 1st 1993,Signet Book
119,The Talisman,Stephen King,0375507779,(The Talisman #1),4.13,656,98788,2898,Hardcover,September 15th 2001,Random House
118,The Woman in Black,Susan Hill,1567921892,(The Woman in Black #1),3.70,138,40848,4873,Paperback,December 1st 2001,David R. Godine Publisher
117,Rose Madder,Stephen King,0340640146,NULL,3.69,608,86415,2122,Paperback,1995,Hodder and Stoughton
116,The Turn of the Screw,Henry James,0140620613,NULL,3.44,131,80844,5850,Paperback,1994,Penguin Books
115,Hell House,Richard Matheson,0727860992,NULL,3.79,301,32839,2016,Hardcover,July 1st 2004,Severn House Publishers
114,American Psycho,Bret Easton Ellis,0679735771,NULL,3.82,399,205875,8869,Paperback,March 1991,Vintage Contemporaries / Random House
113,Duma Key,Stephen King,1416552510,NULL,3.94,611,90989,4982,Hardcover,January 2008,Scribner
112,The Queen of the Damned,Anne Rice,0345419626,(The Vampire Chronicles #3),3.88,448,126402,2102,Paperback,November 29th 1997,Ballantine Books
111,Revival,Stephen King,1476770387,NULL,3.76,405,85048,9811,Hardcover,November 11th 2014,Scribner Book Company
110,Nightmares and Dreamscapes,Stephen King,0450610098,NULL,3.93,864,67330,1159,Paperback,1994,Hodder and Stoughton
109,The Girl Who Loved Tom Gordon,Stephen King,1416524290,NULL,3.58,264,115269,4153,Paperback,November 1st 2005,Pocket Books
108,Different Seasons,Stephen King,0751514624,NULL,4.35,560,156685,3852,Mass Market Paperback,February 16th 1995,Warner Books
107,Ghost Story,Peter Straub,0671685635,NULL,3.95,567,62803,1772,Paperback,September 1st 1989,"Pocket Books / Simon & Schuster, Inc."
106,A Head Full of Ghosts,Paul Tremblay,0062363239,NULL,3.81,286,31033,4724,Hardcover,June 2nd 2015,William Morrow
105,Anna Dressed in Blood,Kendare Blake,0765328658,(Anna #1),3.95,316,87224,9403,Hardcover,October 17th 2011,Tor Teen
104,"Full Dark, No Stars",Stephen King,1439192561,NULL,4.05,368,81601,5913,Hardcover,November 2010,Scribner
103,Everything's Eventual: 14 Dark Tales,Stephen King,1416524355,NULL,3.96,605,78135,2089,Paperback,November 1st 2005,Pocket Books
102,I Am Legend,Richard Matheson,NULL,NULL,4.06,162,77952,4893,Kindle Edition,May 14th 2011,
101,The Mist,Stephen King,0451223292,NULL,3.94,230,100008,2070,Paperback,October 2nd 2007,Signet
100,The Green Mile,Stephen King,0451933028,(The Green Mile #1-6),4.44,592,220621,6207,Paperback,September 1st 1996,Penguin Signet
99,The City of Mirrors,Justin Cronin,034550500X,(The Passage #3),4.20,602,39384,4487,Hardcover,May 24th 2016,Ballantine Books
98,The Hunger,Alma Katsu,0735212511,NULL,3.65,376,6890,1280,Hardcover,March 6th 2018,G.P. Putnam’s Sons
97,Pines,Blake Crouch,1612183956,(Wayward Pines #1),3.90,305,76505,6462,Paperback,August 21st 2012,Thomas & Mercer
96,The Bad Place,Dean R. Koontz,0425195481,NULL,3.89,427,31036,633,Paperback,July 6th 2004,Berkley
95,The Willows,Algernon Blackwood,1587156520,NULL,4.10,105,5866,555,Paperback,June 1st 2002,Borgo Press
94,The Masque of the Red Death,Edgar Allan Poe,1594567395,(Izbrana dela #2),4.08,76,23564,813,Paperback,April 30th 2004,BookSurge Classics
93,Strangers,Dean Koontz,0425181111,NULL,4.00,704,40144,688,Paperback,October 1st 2002,Berkley
92,Necronomicon: The Best Weird Tales,H.P. Lovecraft,0575081562,NULL,4.29,878,10994,460,Hardcover,March 27th 2008,"Gollancz, Great Britain"
91,"The Walking Dead, Vol. 4: The Heart's Desire",Robert Kirkman,1582405301,(The Walking Dead (Collected Editions) #4),4.22,136,25469,971,Comics,April 21st 2009,Image Comics
90,The Keep,F. Paul Wilson,0765357054,(Adversary Cycle #1),3.99,403,16332,594,Paperback,August 1st 2006,Tor Books
89,The Taking,Dean Koontz,0553584502,NULL,3.78,410,33846,1624,Mass Market Paperback,April 26th 2005,Bantam
88,A Living Nightmare,Darren Shan,0316905712,(Cirque du Freak #1),4.07,272,47333,3198,Mass Market Paperback,June 1st 2002,"Little, Brown Young Readers"
87,The Fog,James Herbert,0330376152,NULL,3.89,345,21867,359,Paperback,April 1st 1999,Macmillan UK
86,The Thief of Always,Clive Barker,0060177241,NULL,4.19,225,25121,1597,Hardcover,November 1992,HarperCollins Publishers
85,The Grownup,Gillian Flynn,0804188971,NULL,3.55,64,77374,9510,Hardcover,November 3rd 2015,Crown
84,Infected,Scott Sigler,0307406105,(Infected #1),3.84,342,18102,1580,Hardcover,April 1st 2008,Crown
83,"Uzumaki: Spiral into Horror, Vol. 1",Junji Ito,1569317143,(Uzumaki #1),4.31,208,12063,857,Paperback,October 6th 2001,Viz Media
82,Penpal,Dathan Auerbach,098554550X,NULL,3.87,243,11832,1542,Paperback,June 2012,1000Vultures
81,The Butterfly Garden,Dot Hutchison,NULL,(The Collector #1),4.06,288,93326,8740,Kindle Edition,June 1st 2016,Thomas & Mercer
80,Hannibal Rising,Thomas  Harris,0385339410,(Hannibal Lecter #4),3.48,336,30122,1538,Hardcover,December 5th 2006,Delacorte Press
79,Guilty Pleasures,Laurell K. Hamilton,0425197549,"(Anita Blake, Vampire Hunter #1)",4.02,355,125232,5325,Paperback,August 3rd 2004,Berkley
78,Patient Zero,Jonathan Maberry,0312382855,(Joe Ledger #1),3.99,421,23985,1958,Paperback,March 3rd 2009,St. Martin's Griffin
77,This Book Is Full of Spiders,David  Wong,0312546343,(John Dies at the End #2),4.26,406,22254,1989,Hardcover,October 2nd 2012,St. Martin’s Press
76,Darkly Dreaming Dexter,Jeff Lindsay,NULL,(Dexter #1),3.90,288,171704,6131,Paperback,September 19th 2006,Vintage Books
75,Books of Blood: Volume One,Clive Barker,0425083896,(Books of Blood #1),4.02,210,18762,524,Mass Market Paperback,June 1986,Berkley Books
74,Lisey's Story,Stephen King,0743289412,NULL,3.67,513,62523,3353,Hardcover,October 24th 2006,Scribner
73,Four Past Midnight,Stephen King,0450542882,NULL,3.92,930,90863,1285,Mass Market Paperback,1991,New English Library
72,Red Dragon,Thomas  Harris,0525945563,(Hannibal Lecter #1),4.03,348,238422,4179,Hardcover,May 22nd 2000,Dutton
71,The Picture of Dorian Gray,Oscar Wilde,0375751513,NULL,4.07,367,817269,24650,Paperback,June 1st 2004,Random House: Modern Library
70,Song of Kali,Dan Simmons,0575076593,NULL,3.61,320,9428,727,Paperback,March 10th 2005,Gollancz
69,The Elementals,Michael McDowell,0380783606,NULL,4.04,292,5885,837,Paperback,October 1st 1981,Avon Books
68,Lord of the Flies,William Golding,0140283331,NULL,3.67,182,1953559,32484,Paperback,October 1st 1999,Penguin Books
67,Forever Odd,Dean Koontz,0553588265,(Odd Thomas #2),3.97,364,65240,2624,Paperback,October 31st 2006,Bantam Books
66,Gwendy's Button Box,Stephen King,1587676109,NULL,3.90,171,33003,4074,Hardcover,May 16th 2017,Cemetery Dance Publications
65,The Bloody Chamber and Other Stories,Angela Carter,014017821X,NULL,3.99,128,32851,2797,Paperback,1990,Penguin Books
64,The Stepford Wives,Ira Levin,0060080841,NULL,3.74,144,25261,1886,Paperback,July 23rd 2002,Perennial
63,Taltos,Anne Rice,NULL,(Lives of the Mayfair Witches #3),3.79,533,47167,656,Kindle Edition,November 17th 2010,Ballantine Books
62,Lightning,Dean Koontz,0425192032,NULL,4.07,384,51344,1892,Mass Market Paperback,September 2nd 2003,Berkley
61,Alpha & Omega,Joe Hill,1613778538,(Locke & Key #6),4.45,192,20525,1740,Hardcover,January 2014,IDW Publishing
60,The Case of Charles Dexter Ward,H.P. Lovecraft,0345354907,NULL,4.19,127,13496,596,Paperback,April 19th 1994,Del Rey Books
59,Lost Souls,Poppy Z. Brite,0440212812,NULL,3.89,355,15747,693,Paperback,September 10th 1993,Dell
58,The Rats,James Herbert,0333761189,(Rats #1),3.94,208,14984,691,Hardcover,1999,Macmillan
57,Prodigal Son,Dean Koontz,141591561X,(Dean Koontz's Frankenstein #1),4.02,469,31878,1570,Audio Cassette,January 28th 2005,Books on Tape
56,"The Walking Dead, Vol. 3: Safety Behind Bars",Robert Kirkman,1582404879,(The Walking Dead (Collected Editions) #3),4.31,136,28408,1176,Comics,June 18th 2005,Image Comics
55,The Other,Thomas Tryon,0440167361,NULL,4.00,281,18581,573,Mass Market Paperback,October 1st 1987,Dell
54,Rot & Ruin,Jonathan Maberry,1442402326,(Rot & Ruin #1),4.10,458,31058,3555,Hardcover,September 14th 2010,Simon & Schuster Books For Young Readers
53,Danse Macabre,Stephen King,042518160X,NULL,3.63,400,23069,753,Paperback,September 1st 2001,Berkley
52,The Lottery,Shirley Jackson,1563127873,NULL,4.09,30,48415,2338,Paperback,1990,Perfection Learning
51,The Deep,Nick Cutter,1476717737,NULL,3.36,394,8664,1605,Hardcover,January 13th 2015,Gallery Books
50,Finders Keepers,Stephen King,1501100076,(Bill Hodges Trilogy #2),4.04,431,90541,8545,Hardcover,June 2nd 2015,Scribner
