id,title,author,ISBN,series,avg_rating,pages,rating_count,review_count,book_format,published_date,publisher
78,Dirk Gently's Holistic Detective Agency,Douglas Adams,NULL,(Dirk Gently #1),3.98,306,108017,3067,Mass Market Paperback,2002,Pocket Books
79,Catch-22,Joseph Heller,0684833395,(Catch-22 #1),3.98,453,659150,16051,Paperback,September 4th 2004,Simon & Schuster
80,Sh*t My Dad Says,Justin Halpern,0061992704,(Sh*t My Dad Says #1),3.99,159,130651,7973,Hardcover,May 4th 2010,It Books
81,When You Are Engulfed in Flames,David Sedaris,0316143472,NULL,4.05,323,170313,9434,Hardcover,June 3rd 2008,Little Brown and Company
82,A Midsummer Night's Dream,William Shakespeare,0743477545,NULL,3.94,298,405629,6969,Paperback,July 2016,Simon & Schuster Paperbacks
83,Naked,David Sedaris,0316777730,NULL,4.09,304,220657,5465,Paperback,1998,Back Bay Books
84,A Dirty Job,Christopher Moore,0060590270,(Grim Reaper #1),4.07,387,95470,6271,Hardcover,March 21st 2006,William Morrow
85,Modern Romance,Aziz Ansari,1594206279,NULL,3.83,279,145630,12472,Hardcover,June 16th 2015,Penguin Press
86,Why Not Me?,Mindy Kaling,0804138168,NULL,3.90,240,147406,9558,Paperback,September 27th 2016,Three Rivers Press
87,A Confederacy of Dunces,John Kennedy Toole,0802130208,NULL,3.89,394,210153,13635,Paperback,January 1994,Grove Press
88,Wyrd Sisters,Terry Pratchett,0061020664,(Discworld #6),4.13,265,80974,2614,Mass Market Paperback,February 6th 2001,Hartorch
89,Born Standing Up: A Comic's Life,Steve Martin,1416553649,NULL,3.87,207,74654,4761,Hardcover,February 29th 2008,Scribner Book Company
90,Small Gods,Terry Pratchett,0552152978,(Discworld #13),4.29,400,91835,2494,Paperback,August 1st 2005,Corgi
91,My Horizontal Life: A Collection of One-Night Stands,Chelsea Handler,1582346186,NULL,3.79,213,94744,6165,Paperback,June 6th 2005,Bloomsbury USA
92,Sourcery,Terry Pratchett,0061020672,(Discworld #5),3.89,276,70103,1791,Mass Market Paperback,April 2008,Harper
93,One for the Money,Janet Evanovich,0312362080,(Stephanie Plum #1),4.04,320,448671,13981,Paperback,2006,Griffin
94,Going Postal,Terry Pratchett,0060502932,(Discworld #33),4.38,394,92693,2718,Mass Market Paperback,September 27th 2005,HarperTorch
95,The Rosie Project,Graeme Simsion,1476729085,(Don Tillman #1),4.02,297,380526,35563,Hardcover,October 1st 2013,Simon & Schuster
96,Seriously... I'm Kidding,Ellen DeGeneres,0446585025,NULL,3.72,241,92436,6928,Hardcover,October 4th 2011,Grand Central Publishing
97,Let's Explore Diabetes with Owls,David Sedaris,0316154695,NULL,3.81,275,107775,8823,Hardcover,April 23rd 2013,"Little, Brown and Company"
98,The Long Dark Tea-Time of the Soul,Douglas Adams,0671742515,(Dirk Gently #2),4.06,307,71854,1728,Mass Market Paperback,February 15th 1991,Pocket Books
99,Reaper Man,Terry Pratchett,0552152951,(Discworld #11),4.29,352,72680,2243,Paperback,April 1st 2005,Corgi
100,Much Ado About Nothing,William Shakespeare,0743482751,NULL,4.06,246,199672,3244,Paperback,2004,Simon
