id,title,author,ISBN,series,avg_rating,pages,rating_count,review_count,book_format,published_year,publisher
448,The Wife Between Us,Greer Hendricks,1250130921,,3.84,346,134964,15702,Hardcover,January 9th 2018,St. Martin's Press
446,Final Girls,Riley Sager,1101985364,,3.80,342,44289,6865,Hardcover,July 11th 2017,Dutton
445,Along Came a Spider,James Patterson,0446692638,(Alex Cross #1),4.10,449,365321,4484,Paperback,August 1st 2003,Grand Central Publishing
450,The Bourne Supremacy,Robert Ludlum,0752863886,(Jason Bourne #2),4.11,688,163400,1146,Mass Market Paperback,2004,Orion
444,Hannibal,Thomas  Harris,0099297701,(Hannibal Lecter #3),3.75,564,75246,2550,Paperback,May 18th 2000,Arrow
439,The Pelican Brief,John Grisham,0385339704,,3.98,400,333839,2315,Paperback,April 25th 2006,Delta
441,The Zombie Room,R.D. Ronald,,,3.84,241,24605,148,Kindle Edition,April 10th 2016,Garden Heights Books
440,The Elephant Tree,R.D. Ronald,1848764561,,3.79,252,22259,174,Paperback,2010,Matador
443,Die Trying,Lee Child,0515142247,(Jack Reacher #2),4.02,552,90975,4089,Mass Market Paperback,October 28th 2008,Jove
438,It,Stephen King,0450411435,,4.23,1116,667871,20282,Paperback,October 1st 1987,New English Library
434,In the Woods,Tana French,0143113496,(Dublin Murder Squad #1),3.76,464,257510,18912,Paperback,May 27th 2008,Penguin Books
437,The Couple Next Door,Shari Lapena,0735221081,,3.77,308,230392,19525,Hardcover,August 23rd 2016,Pamela Dorman Books
436,The Firm,John Grisham,0582418275,,4.01,76,525681,3381,Paperback,February 15th 2000,Addison Wesley Publishing Company
442,Pretty Girls,Karin Slaughter,0062430874,,3.99,688,134824,12866,Paperback,September 29th 2015,William Morrow
435,"In a Dark, Dark Wood",Ruth Ware,1501112333,,3.68,308,162925,15026,Paperback,April 19th 2016,Gallery/Scout Press
432,Misery,Stephen King,0450417395,,4.15,370,426641,9012,Paperback,November 1st 1988,New English Library
430,Into the Water,Paula Hawkins,0735211205,,3.55,386,207726,19874,Hardcover,May 2nd 2017,Riverhead Books
431,Origin,Dan Brown,0385514239,(Robert Langdon #5),3.85,461,197610,20560,Hardcover,October 3rd 2017,Doubleday Books
433,A Time to Kill,John Grisham,,(Jake Brigance #1),4.06,515,659910,4861,Paperback,March 15th 2004,Dell
428,Mr. Mercedes,Stephen King,1476754454,(Bill Hodges Trilogy #1),3.96,436,197251,15038,Hardcover,June 3rd 2014,Scribner
429,Shutter Island,Dennis Lehane,038073186X,,4.09,369,142853,7736,Mass Market Paperback,April 27th 2004,HarperTorch
427,The Hunt for Red October,Tom Clancy,0425172902,(Jack Ryan #3),4.05,432,310743,2672,Paperback,October 15th 1999,Berkley Trade
426,And Then There Were None,Agatha Christie,0312330871,,4.25,264,644303,25437,Paperback,May 3rd 2004,St. Martin's Press
423,The Woman in Cabin 10,Ruth Ware,1501132938,,3.68,340,266394,23933,Hardcover,July 19th 2016,Gallery/Scout Press
425,Behind Closed Doors,B.A. Paris,1250121000,,3.95,293,220990,21592,Hardcover,August 9th 2016,St. Martin's Press
424,You,Caroline Kepnes,1501195433,(You #1),3.88,422,96007,14762,Paperback,August 28th 2018,Atria/Emily Bestler Books
420,Red Dragon,Thomas  Harris,0525945563,(Hannibal Lecter #1),4.03,348,240353,4232,Hardcover,May 22nd 2000,Dutton
421,The Shining,Stephen King,0450040186,(The Shining #1),4.21,447,971918,19194,Paperback,July 1st 1980,New English Library (Hodder & Stoughton)
418,Jurassic Park,Michael Crichton,,(Jurassic Park #1),4.01,466,734395,10577,Kindle Edition,May 14th 2012,Ballantine Books
422,Dark Matter,Blake Crouch,1101904224,,4.10,342,176627,23913,Hardcover,July 26th 2016,Crown
419,Killing Floor,Lee Child,0515141429,(Jack Reacher #1),4.05,424,217589,9554,Mass Market Paperback,April 25th 2006,Jove
417,The Bourne Identity,Robert Ludlum,0752864327,(Jason Bourne #1),4.01,566,368486,4369,Paperback,March 24th 2005,Orion
415,The Woman in the Window,A.J. Finn,,,3.94,449,256365,28377,Kindle Edition,January 2nd 2018,William Morrow
411,Dark Places,Gillian Flynn,0307341569,,3.93,349,492698,32721,Hardcover,May 5th 2009,Shaye Areheart Books
413,Deception Point,Dan Brown,0671027387,,3.70,556,545979,8767,Mass Market Paperback,December 2002,Pocket Books
414,The Silence of the Lambs,Thomas  Harris,0099446782,(Hannibal Lecter #2),4.18,338,409895,4926,Paperback,2002,Arrow
416,Before I Go to Sleep,S.J. Watson,0062060554,,3.89,359,254921,21082,Hardcover,June 14th 2011,Harper
412,Digital Fortress,Dan Brown,,,3.64,510,514178,8631,Paperback,2004,Corgi books
407,The Girl Who Kicked the Hornet's Nest,Stieg Larsson,030726999X,(Millennium #3),4.22,563,592959,28132,Hardcover,May 23rd 2010,Knopf
410,Inferno,Dan Brown,0385537859,(Robert Langdon #4),3.84,463,418159,35893,Hardcover,May 14th 2013,Doubleday
409,Sharp Objects,Gillian Flynn,,,3.95,254,530064,38605,Paperback,2006,Broadway Paperbacks
406,The Girl Who Played with Fire,Stieg Larsson,0307269981,(Millennium #2),4.23,503,746840,33037,Hardcover,July 28th 2009,Alfred A. Knopf
408,The Lost Symbol,Dan Brown,0385504225,(Robert Langdon #3),3.69,509,471106,25998,Hardcover,September 15th 2009,Doubleday
405,Angels & Demons,Dan Brown,1416524797,(Robert Langdon #1),3.88,736,2392468,27354,Mass Market Paperback,April 1st 2006,Pocket Books
404,The Girl with the Dragon Tattoo,Stieg Larsson,,(Millennium #1),4.13,465,2298902,65993,Hardcover,September 16th 2008,Knopf
403,Gone Girl,Gillian Flynn,,,4.06,415,1987372,127930,Paperback,April 22nd 2014,Broadway Books
394,The Third Option,Vince Flynn,0743499697,(Mitch Rapp #4),4.27,402,34692,1032,Mass Market Paperback,2004,
402,The Girl on the Train,Paula Hawkins,,,3.91,323,1727321,104707,Hardcover,January 13th 2015,Riverhead Books
398,Baby Teeth,Zoje Stage,1250170753,,3.64,304,22214,5177,Hardcover,July 17th 2018,St Martin's Press
397,Extreme Measures,Vince Flynn,1416599398,(Mitch Rapp #11),4.32,448,43925,937,Hardcover,October 21st 2008,Atria Books
396,The Maze Runner,James Dashner,0385737947,(The Maze Runner #1),4.02,384,894431,53376,Hardcover,October 6th 2009,Delacorte Press
395,The Winter People,Jennifer  McMahon,0385538499,,3.77,317,40887,5890,Hardcover,February 11th 2014,Doubleday
389,The Running Man,Richard Bachman,0451197968,,3.86,317,87873,2663,Paperback,August 1999,Signet
392,Out,Natsuo Kirino,1400078377,,3.93,400,20150,2266,Paperback,January 4th 2005,Vintage
393,Death du Jour,Kathy Reichs,0671011375,(Temperance Brennan #2),3.96,451,35021,1340,Paperback,May 2006,Pocket Star
386,In Cold Blood,Truman Capote,0679745580,,4.07,343,467797,14515,Paperback,1994,Vintage
390,The Midnight Line,Lee Child,0399593489,(Jack Reacher #22),4.10,368,46057,3804,Hardcover,November 7th 2017,Delacorte Press
385,The Mephisto Club,Tess Gerritsen,0345476999,(Rizzoli & Isles #6),4.02,355,32291,1602,Hardcover,September 12th 2006,Ballantine Books
388,Protect and Defend,Vince Flynn,074327041X,(Mitch Rapp #10),4.35,416,32114,856,Hardcover,October 30th 2007,Atria Books
383,Rules of Prey,John Sandford,0425205819,(Lucas Davenport #1),4.12,479,65970,1947,Paperback,August 2nd 2005,G.P. Putnam's Sons
384,I'm Thinking of Ending Things,Iain Reid,,,3.38,241,21942,4551,Kindle Edition,June 14th 2016,Gallery/Scout Press
382,The 39 Steps,John Buchan,1419151126,(Richard Hannay #1),3.61,100,25489,2080,Paperback,June 17th 2004,William Blackwood & Sons
380,The English Assassin,Daniel Silva,0451208188,(Gabriel Allon #2),4.14,437,25866,1139,Paperback,February 25th 2003,Berkley Books
387,The Alexandria Link,Steve Berry,0345485750,(Cotton Malone #2),3.93,480,36077,1204,Hardcover,January 30th 2007,Ballantine Books
379,The Stranger,Harlan Coben,0525953507,,3.87,386,52556,4343,Hardcover,March 24th 2015,Dutton
381,The Ice Princess,Camilla Läckberg,1605980927,(Fjällbacka #1),3.72,393,50430,3785,Hardcover,June 15th 2010,Pegasus
378,A Stranger in the House,Shari Lapena,073522112X,,3.61,305,46486,4942,Hardcover,August 15th 2017,Pamela Dorman Books
375,The Broken Girls,Simone St. James,,,4.06,336,28917,4162,Kindle Edition,March 20th 2018,Berkley
377,The Forgotten,David Baldacci,0446573051,(John Puller #2),4.10,422,46232,2887,Hardcover,November 20th 2012,Grand Central Publishing
373,Night Fall,Nelson DeMille,,(John Corey #3),4.09,576,24347,1319,Kindle Edition,November 1st 2004,Grand Central Publishing
376,Cemetery Dance,Douglas Preston,0446580295,(Pendergast #9),4.01,435,21106,1173,Hardcover,May 12th 2009,Grand Central Publishing
391,Plum Island,Nelson DeMille,0446679089,(John Corey #1),4.04,592,40100,1953,Paperback,January 1st 2002,Grand Central Publishing
370,The Chemistry of Death,Simon Beckett,0385340044,(David Hunter #1),4.10,320,15157,885,Hardcover,September 26th 2006,Delacorte Press
374,Body of Evidence,Patricia Cornwell,0743493915,(Kay Scarpetta #2),4.02,403,59254,1098,Paperback,November 30th 2004,Pocket Books
371,All That Remains,Patricia Cornwell,0684193957,(Kay Scarpetta #3),4.06,373,55765,927,Hardcover,August 17th 1992,Scribner
366,Vanish,Tess Gerritsen,0345476980,(Rizzoli & Isles #5),4.12,401,52010,1562,Paperback,August 29th 2006,Ballantine Books
372,"My Sister, the Serial Killer",Oyinkan Braithwaite,0385544235,,3.80,226,34559,5467,Hardcover,November 20th 2018,Doubleday Books
367,The Good Guy,Dean Koontz,0553804812,,3.82,386,30750,1534,Hardcover,May 29th 2007,Bantam
369,The Perfect Mother,Aimee Molloy,0062696793,,3.54,317,36150,4055,Hardcover,May 1st 2018,Harper
365,Consent to Kill,Vince Flynn,1416505016,(Mitch Rapp #8),4.38,675,39222,1018,Paperback,September 1st 2006,Pocket Star
368,Cat and Mouse,James Patterson,,(Alex Cross #4),3.98,416,55944,1272,Hardcover,November 5th 1997,"Little, Brown"
363,The Sinner,Tess Gerritsen,0553815024,(Rizzoli & Isles #3),4.14,419,38929,1542,Paperback,January 17th 2005,Bantem Press
364,Fatherland,Robert   Harris,0061006629,,3.98,380,29950,1828,Paperback,April 1st 1993,Hartorch
362,2nd Chance,James Patterson,0446696633,(Women's Murder Club #2),4.03,400,84595,2465,Paperback,May 20th 2005,Grand Central Publishing
360,Live and Let Die,Ian Fleming,0142003239,(James Bond (Original Series) #2),3.63,229,20953,1367,Paperback,May 27th 2003,Penguin Books
359,Coma,Robin Cook,0316334464,,3.87,384,44655,716,Paperback,September 23rd 2014,Mulholland Books
361,Body Double,Tess Gerritsen,034545894X,(Rizzoli & Isles #4),4.18,432,41484,1594,Paperback,July 26th 2005,Ballantine Books
