id,title,author,ISBN,series,avg_rating,pages,rating_count,review_count,book_format,published_year,publisher
82,The Son of Neptune,Rick Riordan,1423140591,(The Heroes of Olympus #2),4.44,521,365766,14068,Hardcover,October 4th 2011,Disney-Hyperion Books
83,City of Lost Souls,Cassandra Clare,1442416866,(The Mortal Instruments #5),4.29,534,376746,18517,Hardcover,May 8th 2012,Margaret K. McElderry Books
84,Gardens of the Moon,Steven Erikson,0765348780,(Malazan Book of the Fallen #1),3.88,666,78047,4677,Mass Market Paperback,January 2005,Tor Books
85,A Court of Wings and Ruin,Sarah J. Maas,1408857901,(A Court of Thorns and Roses #3),4.50,699,166385,20655,Paperback,May 2nd 2017,Bloomsbury Childrens Books
86,Clockwork Prince,Cassandra Clare,1416975888,(The Infernal Devices #2),4.45,502,395945,20375,Hardcover,December 6th 2011,"Simon & Schuster, Margaret K. McElderry"
87,The Path of Daggers,Robert Jordan,0812550293,(The Wheel of Time #8),3.92,685,94715,1699,Mass Market Paperback,December 15th 1999,Tor Books
88,Seraphina,Rachel Hartman,,(Seraphina #1),3.97,499,70603,7808,Hardcover,2013,Random House Books for Young Readers
89,Warbreaker,Brandon Sanderson,,(Warbreaker #1),4.26,688,90137,6498,ebook,2009,Self-published
90,The Cruel Prince,Holly Black,0316310271,(The Folk of the Air #1),4.17,370,99110,17192,Hardcover,January 2nd 2018,"Little, Brown Books for Young Readers"
91,The Last Wish,Andrzej Sapkowski,,(Saga o Wiedźminie #1),4.20,292,89775,5385,Kindle Edition,December 14th 2008,Orbit
92,Children of Blood and Bone,Tomi Adeyemi,1250170974,(Legacy of Orïsha #1),4.19,544,86633,16613,Hardcover,March 6th 2018,Henry Holt Books for Young Readers
93,Winter's Heart,Robert Jordan,081257558X,(The Wheel of Time #9),3.94,780,90651,1691,Mass Market Paperback,January 7th 2002,Tor Fantasy
94,A Gathering of Shadows,V.E. Schwab,0765376474,(Shades of Magic #2),4.31,512,76099,11464,Hardcover,February 23rd 2016,Tor Books
95,Outlander,Diana Gabaldon,0440242940,(Outlander #1),4.22,850,715667,42094,Mass Market Paperback,July 26th 2005,Dell Publishing Company
96,Ruin and Rising,Leigh Bardugo,,(The Shadow and Bone Trilogy #3),4.15,422,108769,14501,Hardcover,June 17th 2014,Henry Holt and Company
97,Pawn of Prophecy,David Eddings,0345468643,(The Belgariad #1),4.16,304,85238,2729,Paperback,June 1st 2004,Del Rey
98,Red Seas Under Red Skies,Scott Lynch,,(Gentleman Bastard #2),4.24,578,96438,4983,Kindle Edition,July 31st 2007,Del Rey
99,The Sword of Shannara,Terry Brooks,1857231511,(The Original Shannara Trilogy #1),3.76,726,76504,3693,Paperback,April 1999,Orbit
100,Wyrd Sisters,Terry Pratchett,0061020664,(Discworld #6),4.13,265,81587,2649,Mass Market Paperback,February 6th 2001,Hartorch
101,Circe,Madeline Miller,0316556343,,4.30,393,141552,19029,Hardcover,April 10th 2018,"Little, Brown and Company"
102,Cress,Marissa Meyer,0312642970,(The Lunar Chronicles #3),4.45,552,234040,23847,Hardcover,February 4th 2014,Feiwel & Friends
103,Every Heart a Doorway,Seanan McGuire,0765385503,(Wayward Children #1),3.84,170,44727,9405,Hardcover,April 5th 2016,Tor.com
104,Last Argument of Kings,Joe Abercrombie,0575077905,(The First Law #3),4.28,536,89848,3589,Trade Paperback,March 20th 2008,Gollancz
105,The Waste Lands,Stephen King,0670032565,(The Dark Tower #3),4.24,422,164024,5053,Hardcover,June 23rd 2003,Viking Adult
106,Grave Peril,Jim Butcher,0451458443,(The Dresden Files #3),4.18,378,122484,4673,Paperback,September 4th 2001,Roc
107,Norse Mythology,Neil Gaiman,0393356183,,4.10,301,152261,15651,Paperback,March 6th 2018,W. W. Norton & Company
108,Interview with the Vampire,Anne Rice,0345476875,(The Vampire Chronicles #1),3.99,342,442346,9193,Paperback,August 31st 2004,Ballantine Books
109,Abhorsen,Garth Nix,0060278250,(Abhorsen #3),4.26,358,99768,2169,Hardcover,January 7th 2003,HarperTeen
110,Spinning Silver,Naomi Novik,,,4.28,480,39936,7072,Kindle Edition,July 10th 2018,Del Rey
111,Daughter of the Forest,Juliet Marillier,,(Sevenwaters #1),4.28,554,49514,3784,Paperback,February 18th 2002,Tom Doherty Associates
112,Shiver,Maggie Stiefvater,0545123267,(The Wolves of Mercy Falls  #1),3.77,392,403706,22053,Hardcover,August 1st 2009,Scholastic Press
113,Vampire Academy,Richelle Mead,159514174X,(Vampire Academy #1),4.13,332,505656,21116,Paperback,August 16th 2007,Razorbill
114,Ship of Magic,Robin Hobb,000649885X,(Liveship Traders #1),4.15,880,53099,2209,Mass Market Paperback,March 1999,Voyager
115,Hogfather,Terry Pratchett,0552154288,(Discworld #20),4.24,432,67894,2051,Paperback,October 2nd 2006,Corgi
116,The Children of Húrin,J.R.R. Tolkien,0007246226,(Middle-Earth Universe),3.97,313,57309,2954,Hardcover,April 16th 2007,HarperCollins
117,A Conjuring of Light,V.E. Schwab,0765387468,(Shades of Magic #3),4.39,624,58143,8950,Hardcover,February 21st 2017,Tor Books
118,In the Hand of the Goddess,Tamora Pierce,0689878567,(Song of the Lioness #2),4.25,264,79484,1783,Mass Market Paperback,January 1st 2005,Simon Pulse
119,The Young Elites,Marie Lu,0399167838,(The Young Elites #1),3.91,355,92459,12065,Hardcover,October 7th 2014,G.P. Putnam’s Sons Books for Young Readers
120,The Magicians' Guild,Trudi Canavan,1841493139,(The Black Magician Trilogy #1),3.96,467,63572,2334,Paperback,January 31st 2004,Orbit
121,Magician's Gambit,David Eddings,0345335457,(The Belgariad #3),4.14,305,78569,831,Mass Market Paperback,June 1983,Del Rey
122,Dealing with Dragons,Patricia C. Wrede,015204566X,(Enchanted Forest Chronicles #1),4.15,212,77679,3177,Paperback,November 1st 2002,HMH Books for Young Readers
123,Queen of Sorcery,David Eddings,0345335651,(The Belgariad #2),4.14,326,58999,1009,Mass Market Paperback,November 1982,Del Rey
124,The Little Prince,Antoine de Saint-Exupéry,0156012197,,4.30,93,1110516,32560,Paperback,June 29th 2000,"Harcourt, Inc."
125,Men at Arms,Terry Pratchett,0061092193,(Discworld #15),4.38,377,73640,1638,Mass Market Paperback,May 27th 2003,HarperPrism
126,Pyramids,Terry Pratchett,0061020656,(Discworld #7),3.91,341,61520,1647,Mass Market Paperback,2008,Harper
127,The Farthest Shore,Ursula K. Le Guin,141650964X,(Earthsea Cycle #3),4.13,259,84583,1723,Paperback,November 1st 2004,Gallery Books
128,Dreams of Gods & Monsters,Laini Taylor,0316134074,(Daughter of Smoke & Bone #3),4.21,613,73652,10018,Hardcover,April 8th 2014,"Little, Brown & Company"
129,Magic Study,Maria V. Snyder,0373802498,(Poison Study #2),4.06,392,64244,4473,Hardcover,September 26th 2006,Luna
130,Watership Down,Richard  Adams,038039586X,(Watership Down #1),4.06,478,370574,12244,Mass Market Paperback,June 1975,Avon Books
131,Fool's Errand,Robin Hobb,0006486010,(Tawny Man #1),4.31,661,66914,1747,Mass Market Paperback,October 2002,Voyager
132,The Republic of Thieves,Scott Lynch,0553804693,(Gentleman Bastard #3),4.23,650,70662,4335,Hardcover,October 8th 2013,Del Rey
133,Wizard and Glass,Stephen King,0340829788,(The Dark Tower #4),4.25,845,145923,5285,Paperback,October 2003,New English Library
134,A Memory of Light,Robert Jordan,0765325950,(The Wheel of Time #14),4.51,909,95209,5475,Hardcover,January 8th 2013,Tor Books
135,The Winner's Curse,Marie Rutkoski,0374384681,(The Winner's Trilogy #1),4.01,355,81873,11462,ebook,March 4th 2014,Farrar Straus Giroux
136,Witches Abroad,Terry Pratchett,0061020613,(Discworld #12),4.23,374,64786,1720,Mass Market Paperback,July 30th 2002,HarperTorch
137,Dragons of Autumn Twilight,Margaret Weis,0786915749,(Dragonlance: Chronicles #1),3.99,444,100600,1920,Paperback,February 1st 2000,Wizards of the Coast
138,The Once and Future King,T.H. White,0441627404,(The Once and Future King #1-4),4.08,639,89022,3607,Mass Market Paperback,June 15th 1987,Ace
139,Castle of Wizardry,David Eddings,0345335708,(The Belgariad #4),4.17,375,63356,671,Mass Market Paperback,May 1984,Del Rey
140,Enchanters' End Game,David Eddings,0345300785,(The Belgariad #5),4.18,384,80168,814,Mass Market Paperback,November 12th 1984,Del Rey
141,Winter,Marissa Meyer,0312642989,(The Lunar Chronicles #4),4.48,827,156544,21811,Hardcover,November 10th 2015,Feiwel & Friends
142,The Book of Three,Lloyd Alexander,0805080481,(The Chronicles of Prydain #1),4.00,190,65553,2880,Paperback,May 16th 2006,Square Fish
143,"Blue Lily, Lily Blue",Maggie Stiefvater,0545424968,(The Raven Cycle #3),4.31,391,90661,10919,Hardcover,October 21st 2014,Scholastic Press
144,Summer Knight,Jim Butcher,0451458923,(The Dresden Files #4),4.30,446,112881,3672,Mass Market Paperback,September 3rd 2002,Roc
145,The Dragonbone Chair,Tad Williams,0756402697,"(Memory, Sorrow, and Thorn #1)",3.96,672,56167,1666,Paperback,March 2005,DAW
146,Magician: Apprentice,Raymond E. Feist,0553564943,(The Riftwar Saga #1),4.18,485,73961,1573,Mass Market Paperback,January 1st 1994,Bantam Spectra
147,Feet of Clay,Terry Pratchett,0552153257,(Discworld #19),4.29,411,61806,1385,Paperback,October 1st 2005,Corgi
148,The Assassin's Blade,Sarah J. Maas,1408852594,(Throne of Glass 0.1 - 0.5),4.45,448,100693,10782,ebook,March 4th 2014,Bloomsbury Childrens
149,Redwall,Brian Jacques,1862301387,(Redwall #1),4.13,352,94711,3430,Paperback,September 4th 2006,Red Fox
150,The Blood of Olympus,Rick Riordan,1484724917,(The Heroes of Olympus #5),4.42,516,164161,13974,Hardcover,October 7th 2014,Disney-Hyperion Books
151,Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll,0451527747,(Alice's Adventures in Wonderland #1-2),4.07,239,422568,9647,Paperback,December 1st 2000,Penguin Group (USA)
152,Days of Blood & Starlight,Laini Taylor,0316133973,(Daughter of Smoke & Bone #2),4.19,517,123488,12550,Hardcover,November 6th 2012,"Little, Brown Books for Young Readers"
153,The Mark of Athena,Rick Riordan,1423140605,(The Heroes of Olympus #3),4.46,586,398209,15011,Hardcover,October 2nd 2012,Disney-Hyperion Books
154,Divergent,Veronica Roth,0062024035,(Divergent #1),4.21,487,2609734,105282,Paperback,February 28th 2012,Katherine Tegen Books
155,The Drawing of the Three,Stephen King,0451210859,(The Dark Tower #2),4.23,463,191989,6920,Paperback,August 5th 2003,Signet
156,Clockwork Princess,Cassandra Clare,1406321346,(The Infernal Devices #3),4.59,567,290841,26390,Paperback,September 5th 2013,Walker Books Ltd
157,Strange the Dreamer,Laini Taylor,0316341681,(Strange the Dreamer #1),4.36,536,56699,12321,Hardcover,March 28th 2017,"Little, Brown Books for Young Readers"
158,The Wonderful Wizard of Oz,L. Frank Baum,0140621679,(Oz #1),3.98,154,324472,10898,Paperback,1995,Penguin
159,The Warded Man,Peter V. Brett,0345503805,(Demon Cycle #1),4.26,416,96674,4843,Hardcover,March 10th 2009,Random House
160,The Neverending Story,Michael Ende,0525457585,,4.18,396,142955,5471,Hardcover,1997,Dutton Children's Books
161,The Last Unicorn,Peter S. Beagle,0451450523,(The Last Unicorn #1),4.18,294,88827,4065,Paperback,July 2008,Penguin Roc
162,Carry On,Rainbow Rowell,1250135028,(Simon Snow #1),4.23,522,142679,21112,Paperback,May 9th 2017,Wednesday Books
163,Fool Moon,Jim Butcher,0451458125,(The Dresden Files #2),4.03,401,141426,6185,Mass Market Paperback,January 9th 2001,Roc
164,Scarlet,Marissa Meyer,0312642962,(The Lunar Chronicles #2),4.29,454,266256,27477,Hardcover,February 5th 2013,Feiwel & Friends
165,The Hundred Thousand Kingdoms,N.K. Jemisin,0316043915,(Inheritance Trilogy #1),3.85,427,43110,4668,Paperback,February 25th 2010,Hachette Book Group Orbit
166,The Amulet of Samarkand,Jonathan Stroud,078681859X,(Bartimaeus #1),4.01,462,104639,4697,Hardcover,September 30th 2003,Hyperion/Miramax
167,Dragonflight,Anne McCaffrey,0345484266,(Dragonriders of Pern #1),4.10,299,116310,2964,Paperback,July 26th 2005,Del Rey
168,Crossroads of Twilight,Robert Jordan,0312864590,(The Wheel of Time #10),3.83,704,79720,2010,Hardcover,January 7th 2003,Tor Books
169,Prince of Thorns,Mark  Lawrence,0007423292,(The Broken Empire #1),3.87,384,80218,5865,Hardcover,August 2nd 2011,Voyager
170,Furies of Calderon,Jim Butcher,044101268X,(Codex Alera #1),4.13,504,86994,3787,Paperback,June 28th 2005,Ace
