id,title,author,ISBN,series,avg_rating,pages,rating_count,review_count,book_format,published_date,publisher
399,The Five Red Herrings,Dorothy L. Sayers,NULL,(Lord Peter Wimsey #7),3.84,297,10827,606,Kindle Edition,July 31st 2012,Open Road Media Mystery & Thriller
400,The Girl with the Dragon Tattoo,Stieg Larsson,NULL,(Millennium #1),4.13,465,2282173,65816,Hardcover,September 16th 2008,Knopf
401,Gone Girl,Gillian Flynn,NULL,NULL,4.06,415,1967447,127616,Paperback,April 22nd 2014,Broadway Books
402,Murder on the Orient Express,Agatha Christie,0007119313,(Hercule Poirot #10),4.16,274,295214,19123,Paperback,June 4th 2007,HarperCollins Publishers
403,The Girl on the Train,Paula Hawkins,NULL,NULL,3.91,323,1705964,104250,Hardcover,January 13th 2015,Riverhead Books
404,The Da Vinci Code,Dan Brown,0307277674,(Robert Langdon #2),3.82,489,1719250,44620,Paperback,March 28th 2006,Anchor
405,The Cuckoo's Calling,Robert Galbraith,0316206849,(Cormoran Strike #1),3.86,455,421050,31106,Hardcover,April 30th 2013,"Mulholland Books / Little, Brown and Company"
406,Angels & Demons,Dan Brown,1416524797,(Robert Langdon #1),3.88,736,2378497,27214,Mass Market Paperback,April 1st 2006,Pocket Books
407,The Girl Who Played with Fire,Stieg Larsson,0307269981,(Millennium #2),4.23,503,743214,32963,Hardcover,July 28th 2009,Alfred A. Knopf
408,In the Woods,Tana French,0143113496,(Dublin Murder Squad #1),3.76,464,254600,18746,Paperback,May 27th 2008,Penguin Books
409,The Sweetness at the Bottom of the Pie,Alan Bradley,NULL,(Flavia de Luce  #1),3.81,386,126854,15058,Kindle Edition,April 24th 2009,Delacorte Press
410,The Mysterious Affair at Styles,Agatha Christie,0646418432,(Hercule Poirot #1),3.99,121,202611,5755,Paperback,October 21st 2002,Deodand
411,A Study in Scarlet,Arthur Conan Doyle,1420925539,(Sherlock Holmes #1),4.15,123,270802,8613,Paperback,January 1st 2005,Digireads.com
412,The Girl Who Kicked the Hornet's Nest,Stieg Larsson,030726999X,(Millennium #3),4.22,563,589906,28060,Hardcover,May 23rd 2010,Knopf
413,The Hound of the Baskervilles,Arthur Conan Doyle,0451528018,(Sherlock Holmes #5),4.10,256,212390,6748,Mass Market Paperback,July 1st 2001,Signet
414,The Murder of Roger Ackroyd,Agatha Christie,1579126278,(Hercule Poirot #4),4.23,288,115239,7756,Hardcover,September 1st 2006,Black Dog & Leventhal Publishers
415,One for the Money,Janet Evanovich,0312362080,(Stephanie Plum #1),4.04,320,448671,13981,Paperback,2006,Griffin
416,The Silkworm,Robert Galbraith,0316206873,(Cormoran Strike #2),4.04,455,187013,15858,Hardcover,June 24th 2014,Mulholland Books
417,Dark Places,Gillian Flynn,0307341569,NULL,3.93,349,486512,32504,Hardcover,May 5th 2009,Shaye Areheart Books
418,Sharp Objects,Gillian Flynn,NULL,NULL,3.95,254,520438,38166,Paperback,2006,Broadway Paperbacks
419,Still Life,Louise Penny,0312948557,(Chief Inspector Armand Gamache #1),3.88,293,112225,10240,Mass Market Paperback,May 1st 2007,St. Martin's Paperbacks
420,The Adventures of Sherlock Holmes,Arthur Conan Doyle,NULL,(Sherlock Holmes #3),4.31,339,214052,5821,Paperback,October 22nd 1998,Oxford University Press
421,Murder at the Vicarage,Agatha Christie,1579126251,(Miss Marple #1),4.05,288,122970,3168,Hardcover,September 1st 2006,Black Dog & Leventhal Publishers
422,Death on the Nile,Agatha Christie,0553119222,(Hercule Poirot #17),4.09,214,95664,3624,Paperback,1978,Bantam Books
423,The Lost Symbol,Dan Brown,0385504225,(Robert Langdon #3),3.69,509,467967,25916,Hardcover,September 15th 2009,Doubleday
424,The No. 1 Ladies' Detective Agency,Alexander McCall Smith,1400034779,(No. 1 Ladies' Detective Agency #1),3.77,235,211849,10453,Paperback,February 6th 2003,Anchor Books
425,Rebecca,Daphne du Maurier,0316323705,NULL,4.22,449,387216,19246,ebook,December 17th 2013,"Little, Brown and Company"
426,The A.B.C. Murders,Agatha Christie,1579126243,(Hercule Poirot #13),4.00,252,76518,3496,Hardcover,September 1st 2006,Black Dog & Leventhal Publishers
427,The Beekeeper's Apprentice,Laurie R. King,0553381520,(Mary Russell and Sherlock Holmes #1),4.07,341,62996,5582,Paperback,March 26th 2002,Bantam
428,Career of Evil,Robert Galbraith,NULL,(Cormoran Strike #3),4.22,498,135403,12791,Kindle Edition,June 2018,Mulholland Books
429,The Westing Game,Ellen Raskin,014240120X,NULL,4.02,182,143684,9421,Paperback,April 12th 2004,Puffin
430,The Shadow of the Wind,Carlos Ruiz Zafón,0143034901,(El cementerio de los libros olvidados #1),4.26,487,385801,30134,Paperback,January 25th 2005,Penguin Books
431,The Curious Incident of the Dog in the Night-Time,Mark Haddon,1400032717,NULL,3.87,226,1055154,40636,Paperback,May 18th 2004,Vintage
432,A is for Alibi,Sue Grafton,0312938993,(Kinsey Millhone #1),3.84,308,145707,4265,Paperback,November 1st 2005,St. Martin's Press
433,Maisie Dobbs,Jacqueline Winspear,0142004332,(Maisie Dobbs #1),3.92,309,68655,6553,Paperback,May 25th 2004,Penguin
434,The Thirteenth Tale,Diane Setterfield,0743298020,NULL,3.96,406,250716,21175,Hardcover,September 12th 2006,Atria Books
435,Crocodile on the Sandbank,Elizabeth Peters,NULL,(Amelia Peabody   #1),4.02,262,55313,3854,Kindle Edition,March 1st 2010,Mysterious Press
436,The Woman in Cabin 10,Ruth Ware,1501132938,NULL,3.68,340,260156,23523,Hardcover,July 19th 2016,Gallery/Scout Press
437,The Lovely Bones,Alice Sebold,0316166685,NULL,3.79,372,1833557,38927,Mass Market Paperback,September 1st 2006,"Little, Brown and Company"
438,Two for the Dough,Janet Evanovich,0140255559,(Stephanie Plum #2),4.11,326,138237,4419,Paperback,June 1996,Penguin Books
439,The Sign of Four,Arthur Conan Doyle,0140439072,(Sherlock Holmes #2),3.94,129,87969,3894,Paperback,July 5th 2001,Penguin Classics
440,Inferno,Dan Brown,0385537859,(Robert Langdon #4),3.83,463,414924,35796,Hardcover,May 14th 2013,Doubleday
441,The Complete Sherlock Holmes,Arthur Conan Doyle,0553328255,(Sherlock Holmes),4.51,1796,155383,3387,Paperback,October 1st 1986,Bantam Classics
442,The Body in the Library,Agatha Christie,157912626X,(Miss Marple #3),3.85,191,53694,2587,Hardcover,September 1st 2006,Black Dog & Leventhal Publishers
443,Eleven on Top,Janet Evanovich,0312985347,(Stephanie Plum #11),4.16,321,95362,1931,Paperback,June 20th 2006,St. Martin's Press
444,Peril at End House,Agatha Christie,0007119305,(Hercule Poirot #8),3.93,287,31042,1669,Paperback,2001,HarperCollins
445,Twelve Sharp,Janet Evanovich,0312349486,(Stephanie Plum #12),4.14,310,85397,2136,Hardcover,June 20th 2006,St. Martin's Press
446,Death at La Fenice,Donna Leon,006074068X,(Commissario Brunetti #1),3.83,270,18675,1824,Paperback,July 27th 2004,Harper Perennial
447,Why Didn't They Ask Evans?,Agatha Christie,0312981597,NULL,3.85,288,15751,838,Paperback,February 18th 2002,Minotaur Books
448,S is for Silence,Sue Grafton,0425212696,(Kinsey Millhone #19),3.92,352,22285,1059,Mass Market Paperback,November 28th 2006,Berkley
449,Vengeance in Death,J.D. Robb,0749934131,(In Death #6),4.34,343,32286,1039,Paperback,2004,Piatkus
450,Raven Black,Ann Cleeves,0312359667,(Shetland Island #1),3.90,374,22383,2189,Hardcover,May 29th 2007,Minotaur Books
451,O Jerusalem,Laurie R. King,0553581058,(Mary Russell and Sherlock Holmes #5),4.15,425,15532,770,Paperback,June 28th 2000,Bantam Books
452,I Hunt Killers,Barry Lyga,0316125849,(I Hunt Killers #1),4.02,359,30754,3774,Hardcover,April 3rd 2012,"Little, Brown and Company"
453,We Have Always Lived in the Castle,Shirley Jackson,0143039970,NULL,4.02,146,83948,10228,Paperback,October 31st 2006,Penguin Books
455,Everything I Never Told You,Celeste Ng,159420571X,NULL,3.84,292,234931,23787,Hardcover,June 26th 2014,Penguin Press
456,A Duty to the Dead,Charles Todd,0061791768,(Bess Crawford #1),3.90,336,13159,1458,Hardcover,August 25th 2009,William Morrow
457,Mr. Kiss and Tell,Rob Thomas,080417072X,(Veronica Mars #2),4.00,330,17331,2020,Paperback,January 20th 2015,Vintage Books
458,In Cold Blood,Truman Capote,0679745580,NULL,4.07,343,464302,14362,Paperback,1994,Vintage
459,A Bone to Pick,Charlaine Harris,0802712452,(Aurora Teagarden #2),3.73,168,18763,949,Hardcover,October 13th 2012,Walker & Company
460,The Kalahari Typing School for Men,Alexander McCall Smith,0349117047,(No. 1 Ladies' Detective Agency #4),4.00,210,33183,1437,Paperback,February 26th 2004,Abacus
461,The Dante Club,Matthew Pearl,034549038X,(The Dante Club  #1),3.38,424,35452,2365,Mass Market Paperback,June 27th 2006,Ballantine Books
462,An Incomplete Revenge,Jacqueline Winspear,0719569516,(Maisie Dobbs #5),4.10,288,16914,1306,Hardcover,June 5th 2008,Hodder Murray
463,P is for Peril,Sue Grafton,0449003795,(Kinsey Millhone #16),3.86,370,21249,787,Paperback,May 28th 2002,Ballantine Books
464,A Beautiful Blue Death,Charles Finch,0312359772,(Charles Lenox Mysteries #1),3.63,309,10823,1471,Hardcover,June 26th 2007,Minotaur Books
465,I Let You Go,Clare Mackintosh,0751554154,NULL,4.07,371,85675,10369,Paperback,November 9th 2014,Sphere
466,Size 12 Is Not Fat,Meg Cabot,0060525118,(Heather Wells #1),3.74,345,75548,2588,Paperback,December 27th 2005,William Morrow Paperbacks
467,The Unexpected Mrs. Pollifax,Dorothy Gilman,0449208281,(Mrs Pollifax #1),4.15,204,19851,1587,Paperback,December 1983,Random House Ballantine Fawcett Crest
468,Endless Night,Agatha Christie,0007151675,NULL,3.77,303,16157,1593,Paperback,2007,Harper
469,Cruel & Unusual,Patricia Cornwell,0380718340,(Kay Scarpetta #4),4.12,407,93719,842,Mass Market Paperback,May 1994,Avon Books
470,Chasing Vermeer,Blue Balliett,0439372941,(Chasing Vermeer #1),3.72,254,25914,2206,Hardcover,June 1st 2004,Scholastic Press
471,Mr. Churchill's Secretary,Susan Elia MacNeal,0553593617,(Maggie Hope Mystery #1),3.69,358,19791,2819,Paperback,April 3rd 2012,Bantam
472,From Potter's Field,Patricia Cornwell,0425204693,(Kay Scarpetta #6),4.04,383,48376,773,Paperback,August 30th 2005,Berkley Books
473,Plum Lucky,Janet Evanovich,0312377630,(Stephanie Plum #13.5),3.74,166,44358,1804,Hardcover,January 8th 2008,St. Martin's Press
474,Sparkling Cyanide,Agatha Christie,0007136854,(Colonel Race #4),3.87,336,15933,904,Paperback,2002,HarperCollins
475,The Redbreast,Jo Nesbø,184343217X,(Harry Hole #3),3.92,519,75070,3818,Paperback,November 2nd 2009,Harvill Secker
476,V is for Vengeance,Sue Grafton,0399157867,(Kinsey Millhone #22),3.95,437,25410,2487,Hardcover,November 14th 2011,Putnam Adult
477,The Labours of Hercules,Agatha Christie,1572704578,(Hercule Poirot #27),3.78,9,14218,620,Audio CD,July 13th 2005,AudioGO
478,Holiday in Death,J.D. Robb,NULL,(In Death #7),4.32,308,31233,990,Paperback,June 1st 1998,Berkley
479,Behind Closed Doors,B.A. Paris,1250121000,NULL,3.95,293,216125,21178,Hardcover,August 9th 2016,St. Martin's Press
480,The Blessing Way,Tony Hillerman,0061000019,(Leaphorn & Chee #1),4.06,320,17976,820,Paperback,March 7th 1990,HarperTorch
481,All Together Dead,Charlaine Harris,0441014941,(Sookie Stackhouse #7),4.06,323,180303,3498,Hardcover,May 1st 2007,Ace
482,W is for Wasted,Sue Grafton,0399158987,(Kinsey Millhone #23),3.90,486,26122,3056,Hardcover,September 10th 2013,Marian Wood Books/Putnam
483,The Lake House,Kate Morton,NULL,NULL,4.05,495,84148,9890,Hardcover,October 20th 2015,Atria Books
484,Partners in Crime,Agatha Christie,0007111509,(Tommy & Tuppence #2),3.77,347,11889,734,Paperback,January 1st 2001,HarperCollins Publishers
485,By the Pricking of My Thumbs,Agatha Christie,0451200527,(Tommy & Tuppence #4),3.72,212,12151,737,Paperback,July 1st 2000,Signet
486,The Secret of Chimneys,Agatha Christie,0007122586,(Superintendent Battle #1),3.87,400,13578,814,Paperback,2001,HarperCollins Publishers Ltd.
487,I Am the Messenger,Markus Zusak,0375836675,NULL,4.08,357,121206,13098,Paperback,May 9th 2006,Alfred A. Knopf Borzoi Books
488,The Maze of Bones,Rick Riordan,0545060397,(The 39 Clues #1),3.84,220,69742,4592,Hardcover,September 1st 2008,"Scholastic, Inc."
489,"Where'd You Go, Bernadette",Maria Semple,0316204277,NULL,3.90,330,357147,35234,Hardcover,August 14th 2012,"Little, Brown and Company"
490,Conspiracy in Death,J.D. Robb,0749934174,(In Death #8),4.36,364,29539,1016,Paperback,May 27th 2004,"Little, Brown Book Group"
491,The Word Is Murder,Anthony Horowitz,0062676784,(Hawthorne #1),3.93,390,17895,2727,Hardcover,June 5th 2018,Harper
492,The Black Ice,Michael Connelly,0446613444,(Harry Bosch #2),4.07,448,54069,1979,Paperback,December 1st 2003,Vision
493,We Were Liars,E. Lockhart,NULL,NULL,3.84,242,383172,43591,Kindle Edition,May 13th 2014,Delacorte Press
494,The Likeness,Tana French,0143115626,(Dublin Murder Squad #2),4.06,466,100943,8498,Paperback,May 1st 2009,Penguin Books
495,The Weed That Strings the Hangman's Bag,Alan Bradley,0385342314,(Flavia de Luce  #2),3.99,364,43948,4994,Hardcover,March 25th 2010,Delacorte Press
496,Three to Get Deadly,Janet Evanovich,0312966091,(Stephanie Plum #3),4.15,344,127714,3183,Mass Market Paperback,July 15th 1998,St. Martin's Press
497,One of Us Is Lying,Karen M. McManus,NULL,(One of Us is Lying #1),4.06,361,109713,16795,Kindle Edition,May 30th 2017,Delacorte Press
498,Whose Body?,Dorothy L. Sayers,0061043575,(Lord Peter Wimsey #1),3.89,212,37722,2169,Paperback,July 11th 1995,HarperTorch
499,Thirteen Reasons Why,Jay Asher,1595147888,NULL,3.96,352,687990,49694,Hardcover,December 27th 2016,Razorbill
500,The Grave's a Fine and Private Place,Alan Bradley,1409172880,(Flavia de Luce  #9),3.98,365,12284,1885,Hardcover,February 8th 2018,Orion
