id,title,author,ISBN,series,avg_rating,pages,rating_count,review_count,book_format,published_date,publisher
100,Flaggermusmannen,Jo Nesbø,8203180728,(Harry Hole #1),3.54,339,68765,5295,Paperback,July 2nd 2005,Aschehoug
101,Pardonable Lies,Jacqueline Winspear,0312426216,(Maisie Dobbs #3),4.09,359,23755,1759,Paperback,June 27th 2006,Picador USA
102,The Keeper of Lost Causes,Jussi Adler-Olsen,0525952489,(Afdeling Q #1),3.99,400,55299,4616,Hardcover,August 23rd 2011,Dutton Adult
103,The Thin Man,Dashiell Hammett,0679722637,NULL,3.96,201,24515,1817,Paperback,July 17th 1989,Vintage Crime/Black Lizard
104,The Pelican Brief,John Grisham,0385339704,NULL,3.98,400,331756,2294,Paperback,April 25th 2006,Delta
105,The Cold Dish,Craig Johnson,0143036424,(Walt Longmire #1),4.13,354,24225,3094,Paperback,March 28th 2006,Penguin Books
106,Notorious Nineteen,Janet Evanovich,NULL,(Stephanie Plum #19),3.92,302,58103,5202,Hardcover,November 20th 2012,Headline Book Publishing
107,Unnatural Death,Dorothy L. Sayers,0061043583,(Lord Peter Wimsey #3),4.10,264,22382,736,Paperback,July 11th 1995,HarperTorch
108,H is for Homicide,Sue Grafton,044900063X,(Kinsey Millhone #8),3.90,305,27648,773,Paperback,June 23rd 1997,Ballantine Books
109,The Body Farm,Patricia Cornwell,0425201449,(Kay Scarpetta #5),4.05,351,58820,1141,Paperback,December 28th 2004,Berkley
110,J is for Judgment,Sue Grafton,0449000656,(Kinsey Millhone #10),4.02,360,46928,679,Paperback,December 16th 1997,Ballantine Books
111,And Only to Deceive,Tasha Alexander,006114844X,(Lady Emily #1),3.73,321,15041,1877,Paperback,October 10th 2006,William Morrow Paperbacks
112,The Diviners,Libba Bray,031612611X,(The Diviners #1),3.97,578,60809,9329,Hardcover,September 18th 2012,"Little, Brown Books for Young Readers"
113,I is for Innocent,Sue Grafton,0449221512,(Kinsey Millhone #9),3.93,352,27301,682,Paperback,March 22nd 1993,Fawcett Books
114,Murder Must Advertise,Dorothy L. Sayers,0061043559,(Lord Peter Wimsey #10),4.21,356,17551,807,Paperback,May 10th 1995,HarperTorch
115,Three Act Tragedy,Agatha Christie,0425205975,(Hercule Poirot #11),3.82,336,17246,997,Paperback,July 5th 2005,Berkley
116,The Nine Tailors,Dorothy L. Sayers,0151658978,(Lord Peter Wimsey #11),4.06,397,13609,1021,Hardcover,October 1st 1989,Houghton Mifflin Harcourt P
117,2nd Chance,James Patterson,0446696633,(Women's Murder Club #2),4.03,400,83988,2452,Paperback,May 20th 2005,Grand Central Publishing
118,K is for Killer,Sue Grafton,0449000664,(Kinsey Millhone #11),3.98,292,35656,684,Paperback,June 23rd 1997,Ballantine Books
120,Sadie,Courtney Summers,1250105714,NULL,4.22,308,26475,7467,Hardcover,September 4th 2018,Wednesday Books
121,The Bone Collector,Jeffery Deaver,0451188454,(Lincoln Rhyme #1),4.19,528,138567,2158,Paperback,April 1st 1998,Signet Book
122,The Good Girl,Mary Kubica,0778316556,NULL,3.81,352,166350,13819,Hardcover,July 29th 2014,Harlequin MIRA
123,Club Dead,Charlaine Harris,1841493015,(Sookie Stackhouse #3),4.03,274,206261,5300,Mass Market Paperback,May 6th 2006,Orbit
124,Visions of Sugar Plums,Janet Evanovich,0312986343,(Stephanie Plum #8.5),3.69,230,69186,1770,Paperback,November 17th 2003,St Martins Pr
125,The Crossing Places,Elly Griffiths,0547229895,(Ruth Galloway #1),3.88,320,21993,2495,Hardcover,January 5th 2010,Houghton Mifflin Harcourt
126,All the Missing Girls,Megan Miranda,NULL,NULL,3.78,384,94724,8887,Kindle Edition,June 28th 2016,Simon & Schuster
127,Reconstructing Amelia,Kimberly McCreight,006222543X,NULL,3.83,382,112709,11081,Hardcover,April 2nd 2013,HarperCollins
128,"One, Two, Buckle My Shoe",Agatha Christie,1572703857,(Hercule Poirot #23),3.75,0,18995,925,Audio CD,March 16th 2004,HarperCollins Publishers
129,Red Dragon,Thomas  Harris,0525945563,(Hannibal Lecter #1),4.03,348,238422,4179,Hardcover,May 22nd 2000,Dutton
130,The Cat Who Could Read Backwards,Lilian Jackson Braun,0425195201,(Cat Who... #1),3.85,256,26852,1141,Paperback,August 5th 2003,Berkley Trade
131,Tell No One,Harlan Coben,0440236703,NULL,4.11,370,100557,4563,Mass Market Paperback,August 25th 2009,Dell Publishing Company
132,The Hollow,Agatha Christie,0007121024,(Hercule Poirot #26),3.79,384,17016,958,Paperback,2002,HarperCollins
133,Origin,Dan Brown,0385514239,(Robert Langdon #5),3.85,461,192857,20161,Hardcover,October 3rd 2017,Doubleday Books
134,A Caribbean Mystery,Agatha Christie,0451199928,(Miss Marple #10),3.79,224,22071,1137,Paperback,March 1st 2000,Signet
135,The Secret History,Donna Tartt,1400031702,NULL,4.09,559,241236,17347,Paperback,April 13th 2004,Vintage
136,4th of July,James Patterson,0446613363,(Women's Murder Club #4),4.06,448,67410,1935,Paperback,June 1st 2006,Vision
137,The Name of the Rose,Umberto Eco,0156001314,NULL,4.12,536,262699,7463,Paperback,September 28th 1994,Harvest Books
138,The Anatomist's Wife,Anna Lee Huber,0425253287,(Lady Darby Mystery #1),3.93,357,8170,1200,Paperback,November 6th 2012,Berkley
139,They Came to Baghdad,Agatha Christie,0007154933,NULL,3.79,364,12648,864,Paperback,2003,HarperCollins
140,X,Sue Grafton,0399163840,(Kinsey Millhone #24),3.91,403,26216,3116,Hardcover,August 25th 2015,Marian Wood Books/Putnam
141,The Outsider,Stephen King,1501180983,NULL,4.03,561,94777,10643,Hardcover,May 22nd 2018,Scribner
142,Blindsighted,Karin Slaughter,0380820889,(Grant County #1),4.10,418,58139,2628,Paperback,October 1st 2002,Harper
143,The Pale Horse,Agatha Christie,0312981716,(Ariadne Oliver #5),3.76,288,11674,716,Mass Market Paperback,December 15th 2002,Minotaur Books
144,Judgment in Death,J.D. Robb,0425176304,(In Death #11),4.34,356,29409,769,Mass Market Paperback,September 1st 2000,Berkley Books
145,"The Snake, the Crocodile and the Dog",Elizabeth Peters,NULL,(Amelia Peabody   #7),4.21,432,10795,393,Mass Market Paperback,February 1st 1994,Grand Central Publishing
146,One Good Turn,Kate Atkinson,0316012823,(Jackson Brodie #2),3.80,448,26430,2512,Paperback,September 10th 2007,Back Bay Books
147,Bare Bones,Kathy Reichs,074345300X,(Temperance Brennan #6),3.96,416,32040,894,Paperback,June 1st 2004,Pocket Star
148,The Life We Bury,Allen Eskens,1616149981,(Joe Talbert #1),3.96,303,72087,8047,Paperback,October 14th 2014,Seventh Street Books
149,"Tinker, Tailor, Soldier, Spy",John le Carré,0143119788,(The Karla Trilogy #1),4.05,381,59751,3597,Paperback,June 7th 2011,Penguin Books
150,Grave Secrets,Kathy Reichs,0684859734,(Temperance Brennan #5),3.98,315,27112,818,Hardcover,July 9th 2002,Scribner Book Company
151,M is for Malice,Sue Grafton,0449223604,(Kinsey Millhone #13),4.09,352,62344,734,Mass Market Paperback,November 26th 1997,Fawcett
152,Glass Houses,Louise Penny,1250066190,(Chief Inspector Armand Gamache #13),4.31,391,30204,3991,Hardcover,August 29th 2017,Minotaur Books
153,Hickory Dickory Dock,Agatha Christie,1572705647,(Hercule Poirot #32),3.74,196,17255,768,Audio CD,December 7th 2006,AudioGO
154,Death du Jour,Kathy Reichs,0671011375,(Temperance Brennan #2),3.95,451,34470,1326,Paperback,May 2006,Pocket Star
155,Shakespeare's Landlord,Charlaine Harris,0425206866,(Lily Bard #1),3.76,216,24194,1291,Paperback,November 1st 2005,Berkley
156,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,0451528956,NULL,3.80,144,319387,10481,Paperback,September 2nd 2003,Signet Classics
157,Dead Man's Folly,Agatha Christie,1572705477,(Hercule Poirot #33),3.78,6,16472,804,Audio CD,September 8th 2006,BBC Audiobooks
158,Thrice the Brinded Cat Hath Mew'd,Alan Bradley,1409149501,(Flavia de Luce  #8),3.98,307,15468,2309,Hardcover,September 20th 2016,Orion
159,Third Girl,Agatha Christie,0007121105,(Hercule Poirot #38),3.62,365,16758,795,Paperback,2002,HarperCollins
160,Midnight in the Garden of Good and Evil,John Berendt,0679751521,NULL,3.91,386,198168,7845,Paperback,June 28th 1999,Vintage
161,Busman's Honeymoon,Dorothy L. Sayers,0061043516,(Lord Peter Wimsey #13),4.28,409,15148,711,Paperback,February 2006,HarperTorch
162,Grave Surprise,Charlaine Harris,0425212033,(Harper Connelly #2),3.89,295,33189,1304,Hardcover,October 1st 2006,Berkley Publishing Group
163,Rapture in Death,J.D. Robb,1423301854,(In Death #4),4.27,9,36118,1316,MP3 CD,September 2006,Brilliance Audio
164,Before the Fall,Noah Hawley,NULL,NULL,3.74,401,96161,11071,Kindle Edition,May 31st 2016,Grand Central Publishing
165,Morality for Beautiful Girls,Alexander McCall Smith,1400031362,(No. 1 Ladies' Detective Agency #3),3.98,227,35496,1716,Paperback,November 12th 2002,Random House Anchor
166,The Firm,John Grisham,0582418275,NULL,4.00,76,523393,3360,Paperback,February 15th 2000,Addison Wesley Publishing Company
167,Mrs. McGinty's Dead,Agatha Christie,1572707313,(Hercule Poirot #30),3.83,244,16361,728,Audio CD,April 12th 2007,AudioGO
168,Dead to the World,Charlaine Harris,0441012183,(Sookie Stackhouse #4),4.14,291,229754,5541,Mass Market Paperback,April 1st 2005,Ace Books
170,Pretty Girls,Karin Slaughter,0062430874,NULL,3.99,688,132582,12664,Paperback,September 29th 2015,William Morrow
171,Stalking Jack the Ripper,Kerri Maniscalco,NULL,(Stalking Jack the Ripper #1),4.02,337,33665,6899,Kindle Edition,September 20th 2016,Jimmy Patterson
172,All That Remains,Patricia Cornwell,0684193957,(Kay Scarpetta #3),4.06,373,55304,921,Hardcover,August 17th 1992,Scribner
173,The Name of the Star,Maureen Johnson,0142422053,(Shades of London #1),3.90,372,44134,5035,Paperback,October 2nd 2012,Speak
174,The Witch Elm,Tana French,0735224633,NULL,3.56,464,33330,5416,ebook,October 9th 2018,Viking
175,L is for Lawless,Sue Grafton,0449221490,(Kinsey Millhone #12),3.91,336,26543,709,Paperback,July 31st 1996,Fawcett Books
176,Force of Nature,Jane Harper,1250105633,(Aaron Falk #2),3.85,326,45147,5268,Hardcover,February 6th 2018,Flatiron Books
177,N or M?,Agatha Christie,0007111452,(Tommy & Tuppence #3),3.75,304,15749,874,Paperback,2001,HarperCollins
178,Messenger of Truth,Jacqueline Winspear,0805078983,(Maisie Dobbs #4),3.99,322,17546,1326,Hardcover,August 22nd 2006,Henry Holt and Co.
179,Plum Lovin',Janet Evanovich,0312306342,(Stephanie Plum #12.5),3.72,164,48536,1589,Hardcover,January 9th 2007,St. Martin's Press
