id,title,author,ISBN,series,avg_rating,pages,rating_count,review_count,book_format,published_year,publisher
438,Dead Until Dark,Charlaine Harris,0441008534,(Sookie Stackhouse #1),3.96,292,474203,17718,Mass Market Paperback,May 1st 2001,Ace Books
437,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,,(Miss Peregrine's Peculiar Children #1),3.91,352,854697,58648,Hardcover,June 7th 2011,Quirk
436,Deception Point,Dan Brown,0671027387,,3.70,556,545979,8767,Mass Market Paperback,December 2002,Pocket Books
435,To the Nines,Janet Evanovich,0747267634,(Stephanie Plum #9),4.17,320,100914,1970,Paperback,June 5th 2004,St. Martin's Press
434,The Secret Adversary,Agatha Christie,1600963943,(Tommy & Tuppence #1),3.84,268,34111,2528,Paperback,July 30th 2008,Waking Lion Press
433,1st to Die,James Patterson,0446696617,(Women's Murder Club #1),4.07,424,272252,5823,Paperback,May 20th 2005,Grand Central Publishing
432,Evil Under the Sun,Agatha Christie,1579126286,(Hercule Poirot #24),3.96,220,39976,1439,Hardcover,September 1st 2006,Black Dog & Leventhal Publishers
431,The Moonstone,Wilkie Collins,0375757856,,3.91,528,68197,3958,Paperback,September 11th 2001,Modern Library
430,4:50 from Paddington,Agatha Christie,1579126936,(Miss Marple #8),3.95,288,36776,1809,Hardcover,March 30th 2007,Black Dog & Leventhal Publishers
429,Shutter Island,Dennis Lehane,038073186X,,4.09,369,142853,7736,Mass Market Paperback,April 27th 2004,HarperTorch
428,The Cruelest Month,Louise Penny,0755328949,(Chief Inspector Armand Gamache #3),4.15,310,44552,3684,Hardcover,March 1st 2008,Headline
427,The Secret of the Old Clock,Carolyn Keene,1557091552,(Nancy Drew Mystery Stories #1),3.99,210,57061,2779,Hardcover,September 1st 1991,Applewood Books
426,Hard Eight,Janet Evanovich,0312983867,(Stephanie Plum #8),4.17,326,105196,2101,Paperback,June 16th 2003,St. Martin's Press
425,Into the Water,Paula Hawkins,0735211205,,3.55,386,207726,19874,Hardcover,May 2nd 2017,Riverhead Books
424,Before I Go to Sleep,S.J. Watson,0062060554,,3.89,359,254921,21082,Hardcover,June 14th 2011,Harper
423,A Murder Is Announced,Agatha Christie,1579126294,(Miss Marple #5),3.98,288,38066,1742,Hardcover,September 30th 2006,Black Dog & Leventhal Publishers
422,The Murder on the Links,Agatha Christie,0425067947,(Hercule Poirot #2),3.82,232,34822,2169,Paperback,February 1st 1984,Berkley
421,Seven Up,Janet Evanovich,0312980140,(Stephanie Plum #7),4.16,337,106546,2045,Mass Market Paperback,June 17th 2002,St. Martin's Press
420,Magpie Murders,Anthony Horowitz,0062645226,,3.93,498,47855,6874,Hardcover,June 6th 2017,Harper
419,Déjà Dead,Kathy Reichs,0671011367,(Temperance Brennan #1),3.87,532,120425,3479,Paperback,June 1998,Pocket Books
418,The Woman in White,Wilkie Collins,0141439610,,3.99,672,119132,6783,Paperback,February 27th 2003,Penguin Classics
417,Death Comes to Pemberley,P.D. James,0307959856,,3.24,291,83313,9157,Hardcover,December 6th 2011,Alfred A. Knopf
416,A Red Herring Without Mustard,Alan Bradley,0385342322,(Flavia de Luce  #3),4.07,399,34895,3794,Hardcover,February 8th 2011,Delacorte Press
415,The Dry,Jane Harper,,(Aaron Falk #1),4.04,352,110733,11192,Kindle Edition,May 31st 2016,Macmillan Australia
414,Faithful Place,Tana French,0670021873,(Dublin Murder Squad #3),3.98,400,77794,6845,Hardcover,July 13th 2010,Viking
413,Hot Six,Janet Evanovich,0312976275,(Stephanie Plum #6),4.19,336,111366,2301,Paperback,June 15th 2001,St. Martin's Paperbacks
412,High Five,Janet Evanovich,0330371231,(Stephanie Plum #5),4.18,336,109290,2444,Paperback,June 2000,St. Martin's Press
411,The 7½ Deaths of Evelyn Hardcastle,Stuart Turton,1492657964,,3.95,432,49467,9930,Hardcover,September 18th 2018,Sourcebooks Landmark
410,Storm Front,Jim Butcher,0451457811,(The Dresden Files #1),4.01,322,255206,14099,Mass Market Paperback,April 2000,Penguin ROC
409,The Maltese Falcon,Dashiell Hammett,0752865331,,3.91,213,77667,4322,Paperback,March 1st 2005,Orion
